athlete_name,year,points_earned,event_name,country,profile_url,stance,first_season,age,height(cm),weight(kg),beach,event_region,event_country
Gabriel Medina,2018,10000,Tahiti Pro Teahupo'o,Brazil,https://www.worldsurfleague.com/athletes/1085/gabriel-medina,Goofy,2008 Men's QS,24,180,77,Teahupo'o,Tahiti,French Polynesia
Filipe Toledo,2019,10000,Oi Rio Pro,Brazil,https://www.worldsurfleague.com/athletes/1456/filipe-toledo,Regular,2009 Men's QS,24,175,70,Itaúna,Saquarena,Brasil
Gabriel Medina,2017,10000,MEO Pro Portugal,Brazil,https://www.worldsurfleague.com/athletes/1085/gabriel-medina,Goofy,2008 Men's QS,23,180,77,Guincho,Cascais,Portugal
Gabriel Medina,2021,10000,Rip Curl Rottnest Search,Brazil,https://www.worldsurfleague.com/athletes/1085/gabriel-medina,Goofy,2008 Men's QS,27,180,77,Rottnest Island,Western Australia,Australia
Gabriel Medina,2015,10000,Quiksilver Pro France,Brazil,https://www.worldsurfleague.com/athletes/1085/gabriel-medina,Goofy,2008 Men's QS,21,180,77,Hossegor,Landas,France
John John Florence,2016,10000,Oi Rio Pro,Hawaii,https://www.worldsurfleague.com/athletes/199/john-john-florence,Regular,2008 Men's QS,23,186,79,Itaúna,Saquarena,Brasil
Filipe Toledo,2022,10000,Oi Rio Pro,Brazil,https://www.worldsurfleague.com/athletes/1456/filipe-toledo,Regular,2009 Men's QS,27,175,70,Itaúna,Saquarena,Brasil
Gabriel Medina,2019,10000,Surf Ranch Pro,Brazil,https://www.worldsurfleague.com/athletes/1085/gabriel-medina,Goofy,2008 Men's QS,25,180,77,Surf Ranch,"Lemoore, California",USA
Filipe Toledo,2015,10000,Oi Rio Pro,Brazil,https://www.worldsurfleague.com/athletes/1456/filipe-toledo,Regular,2009 Men's QS,20,175,70,Itaúna,Saquarena,Brasil
Italo Ferreira,2018,10000,MEO Pro Portugal,Brazil,https://www.worldsurfleague.com/athletes/1737/italo-ferreira,Goofy,2009 Men's QS,24,168,68,Guincho,Cascais,Portugal
Griffin Colapinto,2022,10000,MEO Pro Portugal,United States,https://www.worldsurfleague.com/athletes/3165/griffin-colapinto,Regular,2011 Men's JR,24,178,78,Guincho,Cascais,Portugal
Italo Ferreira,2019,10000,MEO Pro Portugal,Brazil,https://www.worldsurfleague.com/athletes/1737/italo-ferreira,Goofy,2009 Men's QS,25,168,68,Guincho,Cascais,Portugal
Mick Fanning,2015,10000,Rip Curl Pro Bells Beach,Australia,https://www.worldsurfleague.com/athletes/554/mick-fanning,Regular,1999 Men's CT,34,178,79,Bells Beach,Victoria,Australia
Gabriel Medina,2018,10000,Surf Ranch Pro,Brazil,https://www.worldsurfleague.com/athletes/1085/gabriel-medina,Goofy,2008 Men's QS,24,180,77,Surf Ranch,"Lemoore, California",USA
Jeremy Flores,2019,10000,Quiksilver Pro France,France,https://www.worldsurfleague.com/athletes/562/jeremy-flores,Regular,2006 Men's CT,31,173,72,Hossegor,Landas,France
Miguel Pupo,2022,10000,Tahiti Pro Teahupo'o,Brazil,https://www.worldsurfleague.com/athletes/688/miguel-pupo,Goofy,2008 Men's QS,30,175,73,Teahupo'o,Tahiti,French Polynesia
Mick Fanning,2016,10000,J-Bay Open,Australia,https://www.worldsurfleague.com/athletes/554/mick-fanning,Regular,1999 Men's CT,35,178,79,Supertubes,Jeffreys Bay,South Africa
Julian Wilson,2018,10000,Quiksilver Pro Gold Coast,Australia,https://www.worldsurfleague.com/athletes/763/julian-wilson,Regular,2007 Men's CT,29,183,82,Snapper Rocks,"Gold Coast, Queensland",Australia
Willian Cardoso,2018,10000,Margaret River Pro,Brazil,https://www.worldsurfleague.com/athletes/622/willian-cardoso,Regular,2008 Men's QS,32,179,95,Main Breack,Margaret River,Australia
Filipe Toledo,2017,10000,Hurley Pro at Trestles,Brazil,https://www.worldsurfleague.com/athletes/1456/filipe-toledo,Regular,2009 Men's QS,22,175,70,Trestles,"San Clemente, California",USA
John John Florence,2017,10000,Margaret River Pro,Hawaii,https://www.worldsurfleague.com/athletes/199/john-john-florence,Regular,2008 Men's QS,24,186,79,Main Breack,Margaret River,Australia
